"","CLAY","SILT","SAND","field_name","sample_uuid","TEXCLASS"
"187",37.69,48.46,13.85,"Sweet - Sweet","4ac87ead-406a-4e1c-8171-665cc6eef75d","SICL"
"188",27.72,40.76,31.52,"Hamblock South Field","4b17c9d4-a08f-4d09-9d3e-bac4f5f24e82","CL"
"189",20.505,34.51,44.985,"brideson","4c29d742-fa56-443c-9573-b65e01133636","L"
"190",26.8,69.2,4,"Rose's Highway_NO Product_1_poly","4c634151-fac1-4a3b-a8e1-f0e8fb04bc6d","SIL"
"191",26.75,60.75,12.5,"field-ne-001","4c95d10e-3630-4133-849c-1a4b093e6665","SIL"
"192",18.5,43.5,38,"Essary-CherryFarms_JimBob_JimBob1","4cac346c-b39e-44fc-b8a6-c0981f5469ee","L"
"193",21.375,37.79,40.835,"Home Farm West","4cb83208-cb2d-4101-971e-718c944768b9","L"
"194",13.45,77.1,9.45,"21-000124creek","4cf360fa-951e-48d7-b4a1-d7550dee8832","SIL"
"195",24.38,68.02,7.6,"house","4d7b10eb-ad72-4161-baa9-9767af6629ec","SIL"
"196",27.58,65.94,6.48,"wales","4e269613-8de1-42ea-8223-6332732a8a68","SICL"
"197",22.3465346534653,31.4643564356436,46.1891089108911,"airport","4f933968-dc4e-4ae7-988a-b36fe4bd7a5f","L"
"198",19.86,73.14,7,"StephenFarms_KaelinFarm","506e4773-8173-4b0b-9b54-f8495db0a919","SIL"
"199",27.72,40.76,31.52,"Hamblock North Field","50e563af-fd1b-4f45-b626-7ed83522bcca","CL"
"200",28.115,67.62,4.265,"Dorris 80","50f6034f-73dc-47e1-adb3-ccdb996da94d","SICL"
"201",22,50.5,27.5,"SEED-516-Soybeans","512a85a1-a848-47fb-84e4-06cc2c2c80be","SIL"
"202",30.56,64.44,5,"north bins","512cf637-5980-43be-a018-4db7cd4ab4b0","SICL"
"203",4.31427609427609,14.8271043771044,80.8586195286195,"Kelsey Home East Harvest","51a9a137-1246-4372-8e74-445917a756e7","LS"
"204",31.97,66.291,1.739,"north bins","5215cecb-e98b-4966-a6df-c34c72d4ca8b","SICL"
"205",30.69,64.64,4.67,"west 85","522c5f41-45e2-436b-b507-f74653cab9b5","SICL"
"206",27.72,40.76,31.52,"Route 40 Midell Farm","5271f020-1a88-44d9-90e2-a0ffe1f12a79","CL"
"207",30.69,64.64,4.67,"north bins","52f52f28-ffdb-4e00-844c-2308b40e557f","SICL"
"208",21.2323232323232,38.3030303030303,40.4646464646465,"pnd","54604b29-7694-4297-88d8-e18f22b9e4e3","L"
"209",29.34,69.66,1,"Kaul East","54e34656-c44a-4c2e-8bef-30b1ede04093","SICL"
"210",4.14141414141414,13.5656565656566,82.2929292929293,"Kelsey Home East Harvest","5534810e-223e-4600-8197-0c67322bc858","LS"
